"Url","DA","PA","MozRank","LinksIn","Equity","SemRush Domain","SR Rank","SR KWords","SR Traffic","SR Costs","SR ULinks","SR HLinks","SR DLinks","CF","TF","EBL","RefDomains"
"1lig.de","28.8","39.1","3.9","6","5","notfound","0","0","0","0","31","37","310","27","13","8569","81"
"1null.de","21.3","31.6","3.6","33","33","notfound","0","0","0","0","478","478","507","14","11","9017","19"
"ad-hoc-news.de","57.6","41.3","4.0","20","9","ad-hoc-news.de","5909435","463","17","0","0","0","0","44","38","6808902","7741"
"aktiencheck.de","50.4","50.3","5.3","4466","1028","aktiencheck.de","5394805","2583","23","0","0","0","0","63","30","6346029","2649"
"angurten.de","30.3","34.7","3.8","1","1","angurten.de","31777806","67","0","0","117","134","4065","33","29","697719","1085"
"anleihencheck.de","35.1","33.7","4.3","274","0","anleihencheck.de","31262207","46","0","0","0","0","0","40","20","3287963","492"
"antenne1.de","48.6","42.0","4.1","14","10","antenne1.de","3975135","83","46","0","954","977","250963","39","51","113546","1584"
"arabella.at","48.6","42.8","4.5","29","28","arabella.at","3031306","264","78","0","105","239","16038","39","27","95492","1523"
"archzine.de","25.6","21.0","3.0","2","2","notfound","0","0","0","0","82","771","782","12","18","2095","254"
"autogrammservice.com","18.8","1.0","0.0","0","0","autogrammservice.com","31608732","2","0","0","1","2","75","33","2","28112","29"
"auto-presse.de","44.9","54.1","6.3","62010","23086","auto-presse.de","26076885","64","0","0","0","0","0","43","40","391384","1830"
"bautzenerbote.de","31.8","1.0","0.0","0","0","bautzenerbote.de","20052176","5","0","0","13","13","3268","27","36","20125","302"
"blo24.at","27.2","28.1","0.0","0","0","blo24.at","4162909","19","42","60","7","18","893","28","23","22928","107"
"blogvonbalrog.com","23.3","35.1","3.8","25","1","notfound","0","0","0","0","82","82","357","26","17","2978","403"
"bookofra.biz","10.5","24.5","3.3","3","3","notfound","0","0","0","0","11","11","15","7","5","12","6"
"bookofraechtgeld.net","15.0","28.9","5.0","28","7","notfound","0","0","0","0","25","30","30","18","13","210","26"
"boxen-magazin.com","12.7","22.2","0.0","0","0","boxen-magazin.com","43776260","36","0","1","1","1","51","15","12","95","25"
"browsergames1.net","16.4","28.0","5.6","3","0","notfound","0","0","0","0","2","2","18","16","8","221","10"
"buecherwurm.org","12.2","25.1","3.9","87","71","notfound","0","0","0","0","0","0","0","4","0","8","3"
"bundesliga-tipps.net","13.9","25.8","0.0","0","0","notfound","0","0","0","0","0","0","10","12","10","26","9"
"bundesligatipps.org","19.4","29.8","0.0","0","0","notfound","0","0","0","0","0","0","33","13","6","157","28"
"bundesliga-trikots.com","18.4","29.9","0.0","0","0","notfound","0","0","0","0","0","0","24","18","14","3057","38"
"bundesligavorhersage.de","13.3","26.6","4.0","6","6","notfound","0","0","0","0","4","8","14","11","3","9","5"
"business24.ch","37.9","41.1","5.4","14004","769","business24.ch","43188958","17","0","0","151","1189","1274","37","16","43883","373"
"bvb-fanforum.de","26.0","1.0","0.0","0","0","notfound","0","0","0","0","8","8","590","23","10","904","382"
"casinobonusgratis.net","9.4","22.1","3.9","6","1","notfound","0","0","0","0","3","3","4","12","2","4","3"
"casinomagazin.net","24.4","36.6","5.4","197","195","notfound","0","0","0","0","5","32","33","24","12","689","30"
"casinotaktik.de","17.7","30.8","4.7","31","6","notfound","0","0","0","0","45","46","55","16","0","45","17"
"cleverefrauen.de","32.4","43.1","6.6","16744","87","cleverefrauen.de","19692470","1","0","0","102","367","1457","37","41","9376","674"
"comback.ch","24.1","35.1","5.5","7283","73","comback.ch","13733593","9","0","0","97","355","402","38","11","28405","88"
"coupobox.de","13.1","1.0","0.0","0","0","notfound","0","0","0","0","5","5","53","12","2","44","19"
"craftube.de","25.0","35.2","2.2","2","2","craftube.de","31221498","18","0","0","33","33","293952","24","22","186096","39"
"dealerei.de","15.2","23.7","4.3","71","2","notfound","0","0","0","0","18","46","51","2","9","6676","8"
"der-ballacker.de","21.7","30.9","0.0","0","0","notfound","0","0","0","0","0","0","58632","24","10","82480","14"
"derivatecheck.de","33.2","35.9","4.1","117","1","derivatecheck.de","14512029","21","0","0","0","0","0","43","23","1726578","524"
"diamantlinks.de","10.5","1.0","0.0","0","0","diamantlinks.de","16517351","114","0","0","0","0","374","16","25","718","25"
"dieneue1077.de","46.8","53.1","6.3","1468","975","dieneue1077.de","37304741","44","0","0","386","632","2576","34","36","8766","588"
"dievolkskrankheit.de","14.6","24.9","2.9","1","1","dievolkskrankheit.de","20290907","1","0","0","2","2","19","18","8","93","14"
"eichsfelder-nachrichten.de","34.1","1.0","0.0","0","0","eichsfelder-nachrichten.de","31549951","8","0","0","18","273","2703","35","25","1206390","253"
"eishockey.net","29.5","33.7","3.1","4","2","eishockey.net","11244188","26","2","0","46","54","33998","40","18","146929","340"
"eishockeyticker.ch","28.2","39.8","4.3","11","10","eishockeyticker.ch","30199646","114","0","0","6","6","89986","32","11","89104","50"
"elektrotechnik.ch","40.6","40.9","4.3","190","189","elektrotechnik.ch","19483073","17","0","0","284","319","10606","42","29","1436902","198"
"energy.at","41.2","47.5","4.5","61","48","energy.at","1986150","299","174","5","257","13900","18225","33","36","42149","1022"
"europeonline-magazine.eu","47.2","30.3","2.2","5","4","europeonline-magazine.eu","4269252","64","41","0","216","2786","27682","37","37","103932","3353"
"fazemag.de","40.3","40.6","3.8","9","7","fazemag.de","2507377","2117","113","26","265","274","5462","33","21","96936","1021"
"finanzblatt.net","21.5","34.2","4.6","4","4","finanzblatt.net","44120695","3","0","0","6","8","381","16","6","307","57"
"finerio.de","36.5","43.6","6.0","17916","17604","finerio.de","32230266","35","0","0","1075","1075","101870","32","21","162338","145"
"fondscheck.de","37.7","37.3","4.0","89","2","fondscheck.de","14391096","61","0","0","0","0","0","42","21","1572598","373"
